,care.vice,care.virtue,fairness.vice,fairness.virtue,loyalty.vice,loyalty.virtue,authority.vice,authority.virtue,sanctity.vice,sanctity.virtue
remove,0.19672131147540986,0.0,0.25806451612903225,0.0,0.15384615384615385,0.0,0.21428571428571427,0.0,0.2037037037037037,0.0
electoral,0.0,0.05617977528089888,0.07971014492753623,0.0,0.0,0.05084745762711865,0.0,0.02877697841726619,0.061728395061728385,0.0
backing,0.0,0.0,0.0,0.16666666666666666,0.0,0.08108108108108109,0.0,0.1851851851851852,0.0,0.028571428571428567
dollar,0.045454545454545456,0.0,0.0,0.0958904109589041,0.0,0.0,0.03636363636363636,0.0,0.0,0.017857142857142856
disrupting,0.2777777777777778,0.0,0.04166666666666666,0.0,0.125,0.0,0.17647058823529413,0.0,0.1875,0.0
form,0.1134020618556701,0.0,0.1623931623931624,0.0,0.11486486486486487,0.0,0.0,0.11206896551724138,0.1,0.0
swiftly,0.09090909090909093,0.0,0.0,0.3,0.0,0.09090909090909093,0.0,0.1153846153846154,0.0,0.0
fear,0.17370892018779344,0.0,0.11790393013100435,0.0,0.17842323651452285,0.0,0.14107883817427386,0.0,0.10775862068965517,0.0
rise,0.09166666666666666,0.0,0.07518796992481203,0.0,0.1386861313868613,0.0,0.09375,0.0,0.06140350877192983,0.0
table,0.05882352941176471,0.0,0.0,0.09090909090909093,0.0,0.06451612903225806,0.1896551724137931,0.0,0.0,0.15942028985507245
helping,0.0,0.19548872180451127,0.0,0.13559322033898305,0.0,0.11475409836065575,0.0,0.0979020979020979,0.0,0.11194029850746268
playing,0.0,0.0,0.0,0.13333333333333333,0.0,0.17647058823529413,0.04444444444444445,0.0,0.0,0.13953488372093026
transition,0.0,0.05825242718446603,0.0,0.07048458149779736,0.0,0.08542713567839195,0.0,0.08333333333333333,0.0,0.06666666666666668
hope,0.0,0.08734939759036145,0.0,0.06688963210702341,0.0,0.07692307692307693,0.0,0.07432432432432433,0.0,0.08609271523178808
deal,0.10270270270270272,0.0,0.12371134020618554,0.0,0.1278772378516624,0.0,0.0,0.08955223880597014,0.04775280898876405,0.0
overly,0.3157894736842105,0.0,0.0,0.2,0.18181818181818185,0.0,0.15789473684210525,0.0,0.0,0.0
meant,0.11428571428571427,0.0,0.0,0.17333333333333334,0.0,0.2058823529411765,0.10714285714285714,0.0,0.0,0.16129032258064516
children,0.23777403035413155,0.0,0.13884297520661154,0.0,0.0,0.11332312404287903,0.07095709570957097,0.0,0.1525096525096525,0.0
backlash,0.0,0.1,0.14516129032258066,0.0,0.21428571428571427,0.0,0.19230769230769232,0.0,0.07317073170731707,0.0
loyal,0.0,0.16666666666666666,0.0,0.06896551724137931,0.0,0.21621621621621626,0.0,0.25,0.0,0.0
refuge,0.0,0.21428571428571427,0.2272727272727273,0.0,0.3043478260869565,0.0,0.0,0.0,0.12,0.0
character,0.10294117647058824,0.0,0.05,0.0,0.07692307692307693,0.0,0.03636363636363636,0.0,0.06578947368421052,0.0
eastern,0.06276150627615062,0.0,0.02843601895734597,0.0,0.0703125,0.0,0.07234042553191489,0.0,0.05392156862745098,0.0
sit,0.13043478260869565,0.0,0.14545454545454545,0.0,0.1914893617021277,0.0,0.0,0.1176470588235294,0.0,0.1020408163265306
politically,0.10714285714285714,0.0,0.17105263157894735,0.0,0.1851851851851852,0.0,0.0,0.14634146341463414,0.1176470588235294,0.0
research,0.0,0.04152249134948097,0.058988764044943826,0.0,0.0,0.032786885245901634,0.0,0.03934426229508197,0.04230769230769231,0.0
airport,0.10434782608695653,0.0,0.05434782608695652,0.0,0.13541666666666666,0.0,0.05691056910569105,0.0,0.07894736842105263,0.0
humanity,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
reached,0.0,0.060606060606060615,0.0,0.06451612903225806,0.0,0.04958677685950413,0.0,0.05357142857142857,0.0,0.011363636363636364
slow,0.13559322033898305,0.0,0.0,0.07692307692307693,0.1020408163265306,0.0,0.1,0.0,0.06779661016949153,0.0
reverse,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.09090909090909093,0.0,0.125,0.0,0.06666666666666668
affairs,0.05063291139240506,0.0,0.0,0.0,0.0,0.0898876404494382,0.027027027027027032,0.0,0.0,0.07575757575757576
double,0.06976744186046513,0.0,0.14634146341463414,0.0,0.04838709677419355,0.0,0.0,0.023809523809523808,0.0,0.16666666666666666
instances,0.04166666666666666,0.0,0.42857142857142855,0.0,0.15384615384615385,0.0,0.125,0.0,0.0,0.0
epidemic,0.18421052631578946,0.0,0.14285714285714285,0.0,0.08571428571428573,0.0,0.0,0.0,0.125,0.0
arrival,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464
potential,0.10852713178294572,0.0,0.13274336283185842,0.0,0.08050847457627118,0.0,0.0749063670411985,0.0,0.11737089201877934,0.0
strip,0.0,0.2692307692307692,0.21875,0.0,0.1153846153846154,0.0,0.2333333333333333,0.0,0.2,0.0
dry,0.0,0.0,0.0,0.0,0.08,0.0,0.07692307692307693,0.0,0.16666666666666666,0.0
happened,0.0,0.062015503875968984,0.10294117647058824,0.0,0.053435114503816786,0.0,0.0457516339869281,0.0,0.0,0.027777777777777776
story,0.0,0.06698564593301436,0.041884816753926704,0.0,0.0,0.05027932960893855,0.0,0.05,0.0,0.06015037593984963
principle,0.043478260869565216,0.0,0.11363636363636365,0.0,0.0,0.13725490196078433,0.0,0.17647058823529413,0.0,0.0
hospitals,0.2531645569620253,0.0,0.15492957746478872,0.0,0.0,0.12149532710280375,0.07894736842105263,0.0,0.11702127659574467,0.0
retirement,0.05,0.0,0.0,0.25,0.0,0.175,0.0,0.05555555555555555,0.0,0.0
litigation,0.04166666666666666,0.0,0.1176470588235294,0.0,0.024390243902439025,0.0,0.1095890410958904,0.0,0.03296703296703297,0.0
